name,maker,type,img,bottlesize,alcohol,country,city,website
7D Gin,Comercial Tello S.A.,London Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKHQwVJyYIm-yjH5WPGn9QGqD3zibYb_P4plwyn2rEMwiRJkNyhuY25hdACg&s,0.7l,41%,Spain,Barcelona,
Adler Berlin Dry Gin,Preussische Spirituosen Manufaktur,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSe0yJtSIc5fpRs7VSH1uoBrouHkN14poa-Tg_zLwNF6Y3D14cPMGr9uRjvTg&s,0.7l,42%,Germany,Berlin,http://www.adlergin.de
Adnams First Rate Gin,Adnams Copper House Distillery,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRYhpqMh2UxhzzmmGxflgJLjXysfODQ4lsoaWa3LyCUUeUKgAzCAt5VaZWaQ&s,0.5l/0.7l,48%,England,Suffolk,http://adnams.co.uk/spirits/our-spirits/first-rate-finest-cut-gin/
Arctic Velvet Premium Gin,ThoCon AG,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkqMmOuTDXyviM0oIhaZBjMXRC46WQbuH-z2XDtNYrSQyoCB7hf9t_e8-_pw&s,0.7l,40%,Switzerland,Cham,http://www.arctic-velvet.com
Baltic Dry Gin,Gutsbrennerei Zinzow,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ8e9SFeAHI3t2PmAT9EC4Lf5SGXhChOMszwOTCNQgY_1QnTwRayN-6v0TFA&s,0.5l,44%,Germany,Zinzow,http://www.edel-destillate.de
Beefeater 24 London Dry Gin,Pernod Ricard,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0IgSqVLvq15NywrM1jOUniavCZwBABOv8lBEcQniKwHMBR5RRafO-F0BITeY&s,0.7l,45%,England,London,http://www.beefeatergin.com
Beefeater London Distilled Dry Gin,Pernod Ricard,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-hQesFRDsv6S4EgbWeADZAfEWjSXk7S8JwXLfhpr1VT1O8tIWIeJBVWp6EvQ&s,0.7l/1l,47%,England,London,http://www.beefeatergin.com
Berliner Brandstifter,Vincent Hondrodt,Berlin Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4OwJZecXjmOMX9KmarfpTKwYjnpYTbW2GauEb-R9pN8YpfffPxoMTm3vjAQ&s,0.7l,43.30%,Germany,Berlin,http://www.berlinerbrandstifter.com
Berkeley Square Gin,G&J Distiller,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtQSWiAizqUvWeZ_7EPqm9j1dr6x34E41HChho2eaSbCrxCLnXsTu3zijEVA&s,0.7l,40%,England,London,http://www.berkeleysquaregin.com
Biercee Gin,Distillerie de Biercée,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdmWyEObp3NaIAZeN3iB-1z3Bqx2LZA3FciMMlKrxuN4bJ24nh408UDmfN-9k&s,0.7l,44%,Belgium,Ragnies,http://www.distilleriedebiercee.be/en/our-product-range/biercee-gin/
Black Gin,Gansloser Destilierie,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL9dY7DbbOG3TSrAKYwu8FOT6ytqfK9eMAhOZYlXxCKsi2qM_v_XhBgi9lgjA&s,0.7l,45%,Germany,Bad Ditzenbach/Auendorf,http://www.gansloser-destillerie.de/de/qualitaeten/gin/black-gin.html
Blackwoods Vintage Dry Gin,Blavod Drinks Ltd.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsn0e3WBDNwmnspeuMo2cKG_Y5n7kDCS_nGiHJJEDAf8asVXnR0GAtusfCCQ4&s,0.7l,40%,England,London,http://blackwoodsgin.net/gin.php
Blackwoods Vintage Dry Gin (Limited Edition 60%),Blavod Drinks Ltd.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYgSkYw74K9L4zwfZg450dX2YRp7IuSIAsm3UuZkc1vZZ_c0hO4SXV580n9GE&s,0.7l,60%,England,London,http://blackwoodsgin.net/gin.php
Bloom Premium London Dry Gin,BLOOM,London Dry Gins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH1N_V5yc4QgVQaQuWZheGHs9d3RPwZMy_QwtLN6fUUb6E_Pc6jZqWpWuDhA&s,0.7l,40%,England,London,http://www.bloomgin.com
Blue Gin,Reisetbauer Qualitätsbrand,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4Bn_Zy8Ph4g3GY984G4mVY89QuivWgRNtUXWyTT4KN3Jy3EfrpcsDdwOY2DU&s,0.7l,43%,Austria,Axberg,http://www.reisetbauer.at
Bombay Sapphire East 1 Liter,Bombay Sapphire,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSr8VYA-CaEqB_GTTiaOc4dH32p2wkxrkz0Wp_bMNxCpnLzezcYnq4fC1irkfg&s,1l,42%,England,London,http://www.bombaysapphire.com
Bombay Sapphire London Dry Gin,Bombay Sapphire,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5wUEitVqbJi57neIzVhMtDHH5_UIhJ_08jc7Ac2bDN64-pjrMxLQdEOISeg&s,0.7l/1l,40%,England,London,http://www.bombaysapphire.com
Botanic Premium London Dry Gin,Bodegas Williams Humbert,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-aU-M580yfBoQu33W5yC04SZDhbyHYoBLr57qokeM-1PdJjqOz4y3-IFBFCM&s,0.7l,45%,England,Birmingham,
