Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
Freixenet Sparkling Cordon Negro Brut (187ML Split),Sparkling & Champagne,4.97,187,4.2,76,Non-Vintage Sparkling Wine from Cava / Spain,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR93Oyx65tpnmf9qjvy22GP_5cbPSL8bgP_PizfPsUNevppATCnT6d1AwYkEw&s
Le Grand Courtage Rose Brut (187ML Split),Sparkling & Champagne,5.99,187,4.2,42,Sparkling Rosé from France,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkrzSbiyuraW_RNAVojRztAGg8WSnTm8OA_blXUbbPD2Qw1pGtgj2Md2X7gdk&s
Le Grand Courtage Blanc de Blancs Brut (187ML Split),Sparkling & Champagne,5.99,187,3.8,42,Non-Vintage Sparkling Wine from France,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1Aw2ba88jGloWQmLLk_3XcNIXHwJq4jrUZmA4D-L9bTIUqb9lBvHcAU6RAA&s
La Marca Prosecco (187ML Split),Sparkling & Champagne,6.97,187,4.1,278,Non-Vintage Sparkling Wine from Prosecco / Italy,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAOzaGEEEgx2N0Rq_RPUbwyYl_xtVstG33IpKpzPBaWahmxswM4Kx6MAL6j1w&s
Semeli Mountain Sun Rose 2020,Pink and Rosé,6.99,750,0,0,Rosé from Other Peloponnese / Greece,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf9MI6GiDw2sn2t2BOfQWrey0nzJTN0z114NXIRqn_YGGS7jPtZfqgwhHFxw&s
Riondo Prosecco (187ML Split),Sparkling & Champagne,7.97,187,4.1,39,Non-Vintage Sparkling Wine from Prosecco / Italy,10.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxADpZ9WhmRdELd9di3nsgts5TMRjKNOr97TIJiT8XGAqEdJ-mr6fGV2wLow&s
Blackstone Cabernet Sauvignon 2020,Red Wine,7.99,750,0,0,Cabernet Sauvignon from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-l0tWccx5J6hLfaCvs1Pt463yvadXgjMsHYtgUccjrvJBMqBnBUfi84Y2Zho&s
Borgo Magredo Prosecchini Extra Dry Prosecco,Sparkling & Champagne,7.99,187,0,0,Non-Vintage Sparkling Wine from Prosecco / Italy,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVgaTljkOcLTHprHr9Ko0DFPz2L4CKMUJ86BN20mg0m-LL11agB6X1NyQGHy8&s
Donini Pinot Grigio 2021,White Wine,7.99,750,0,0,Pinot Gris /Grigio from Veneto / Italy,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM5o9jGLAEhXddO94vN-QKeUgg-Hrxxr20Obp6wCiWdv-B9xFuKOAHYKRAjbI&s
Donini Montepulciano d'Abruzzo 2020,Red Wine,7.99,750,3.8,11,Montepulciano from Abruzzo / Italy,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4m-daKv-h0x4u2OSX-iE9i-qGVnP8kV4mQ3mXRja9vG2mJolgLfLSxl9Xpw0&s
